Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco1, 1881, 21539.35, 3.2, 349.3, 0.0
0, eco2, 7920, 20028.32, 0.7, 326.6, 0.0
